transaction_id,transaction_date,customer_id,product_id,category,quantity,unit_price,total_amount,discount_applied,payment_method,store_location,salesperson_id,profit,profit_margin_pct,data_quality_flag,is_outlier
10043,2024-06-06,18,P038,Food,10,803.27,8032.7,0.0,Cash,Store A (Mumbai),EMP011,3565.2,44.38,CLEAN,0
10044,2024-05-31,1881,P170,Home & Garden,1,874.05,874.05,0.0,Debit Card,Store B (Delhi),EMP020,262.49,30.03,CLEAN,0
10045,2024-01-28,1841,P327,Books,1,1015.98,1015.98,0.0,Cash,Store B (Delhi),EMP046,356.13,35.05,CLEAN,0
10046,2024-02-03,820,P374,Food,9,54.88,469.22,5.0,Net Banking,Store C (Bangalore),EMP005,150.91,32.16,CLEAN,0
10047,2024-03-05,925,P018,Food,8,139.48,1115.84,0.0,UPI,Store C (Bangalore),EMP039,371.92,33.33,CLEAN,0
10048,2024-06-29,1638,P161,Electronics,1,41134.55,39077.82,5.0,UPI,Store A (Mumbai),EMP047,11903.0,30.46,CLEAN,0
10049,2024-03-21,820,P233,Food,9,129.35,1105.94,5.0,Cash,Online,ONLINE,341.57,30.89,CLEAN,0
10050,2024-01-27,391,P163,Books,1,1855.31,1762.54,5.0,Cash,Store A (Mumbai),EMP046,828.49,47.01,CLEAN,0
10051,2024-03-10,1192,P310,Home & Garden,6,3899.26,23395.56,0.0,Net Banking,Store C (Bangalore),EMP028,13252.62,56.65,CLEAN,0
10052,2024-02-14,2454,P146,Clothing,1,3455.63,3282.85,5.0,Net Banking,Store A (Mumbai),EMP038,1503.35,45.79,CLEAN,0
10053,2024-06-18,751,P120,Clothing,1,1695.72,1695.72,0.0,Credit Card,Store B (Delhi),EMP040,751.56,44.32,CLEAN,0
10054,2024-04-07,101,P302,Food,7,276.08,1932.56,0.0,Cash,Store B (Delhi),EMP038,691.25,35.77,CLEAN,0
10055,2024-06-15,163,P078,Books,2,346.23,692.46,0.0,UPI,Online,ONLINE,409.62,59.15,CLEAN,0
10056,2024-06-06,1624,P216,Clothing,3,1093.46,2952.34,10.0,Net Banking,Store B (Delhi),EMP019,1477.44,50.04,CLEAN,0
10057,2024-04-24,2406,P400,Food,10,471.08,4710.8,0.0,Credit Card,Store C (Bangalore),EMP033,2530.1,53.71,CLEAN,0
10058,2024-01-19,1217,P237,Home & Garden,2,3676.06,6616.91,10.0,Credit Card,Store A (Mumbai),EMP017,2322.36,35.1,CLEAN,0
10059,2024-04-29,958,P146,Clothing,1,3455.63,3455.63,0.0,Credit Card,Store A (Mumbai),EMP003,1582.47,45.79,CLEAN,0
10060,2024-05-25,163,P072,Food,10,500.31,4502.79,10.0,UPI,Online,ONLINE,1859.4,41.29,CLEAN,0
10061,2024-03-01,1870,P033,Food,5,208.26,937.17,10.0,Net Banking,Online,ONLINE,441.49,47.11,CLEAN,0
10062,2024-06-18,607,P121,Books,3,929.52,2370.28,15.0,Debit Card,Store A (Mumbai),EMP017,1021.25,43.09,CLEAN,0
10063,2024-06-30,724,P133,Electronics,2,96499.96,183349.92,5.0,Debit Card,Store B (Delhi),EMP016,97494.32,53.17,CLEAN,1
10064,2024-02-19,1465,P138,Electronics,2,137342.02,274684.04,0.0,Credit Card,Online,ONLINE,87353.82,31.8,CLEAN,1
10065,2024-02-11,1513,P187,Food,1,80.86,80.86,0.0,Credit Card,Store B (Delhi),EMP027,44.54,55.08,CLEAN,0
10066,2024-01-19,2280,P328,Home & Garden,3,7341.65,19822.45,10.0,Debit Card,Store A (Mumbai),EMP022,10414.95,52.54,CLEAN,0
10067,2024-06-08,858,P347,Clothing,4,2815.31,10698.18,5.0,Cash,Store B (Delhi),EMP050,4159.71,38.88,CLEAN,0
10068,2024-04-26,1896,P012,Food,3,751.99,2030.37,10.0,Credit Card,Online,ONLINE,1084.32,53.4,CLEAN,0
10069,2024-04-29,120,P287,Food,5,748.6,3743.0,0.0,Net Banking,Store C (Bangalore),EMP036,2127.95,56.85,CLEAN,0
10070,2024-04-20,101,P194,Books,4,850.51,3061.84,10.0,UPI,Store A (Mumbai),EMP020,1072.58,35.03,CLEAN,0
10071,2024-04-26,1766,P116,Home & Garden,6,5411.04,1623312.0,0.0,Debit Card,Store B (Delhi),EMP019,12941.1,39.86,CLEAN,1
10072,2024-01-13,1482,P203,Electronics,1,116724.48,116724.48,0.0,Credit Card,Store A (Mumbai),EMP029,57121.29,48.94,CLEAN,1
10073,2024-02-24,2380,P206,Clothing,3,3652.98,10958.94,0.0,Credit Card,Store B (Delhi),EMP020,3514.92,32.07,CLEAN,0
10074,2024-02-26,2321,P179,Books,3,1346.25,3836.81,5.0,Debit Card,Store C (Bangalore),EMP046,1610.93,41.99,CLEAN,0
10075,2024-06-27,842,P397,Clothing,4,1000.95,3803.61,5.0,Net Banking,Store A (Mumbai),EMP026,1275.17,33.53,CLEAN,0
10076,2024-05-30,1923,P110,Food,5,934.33,4438.07,5.0,Net Banking,Store A (Mumbai),EMP047,1475.92,33.26,CLEAN,0
10077,2024-04-28,244,P165,Books,3,711.4,2134.2,0.0,Cash,Store C (Bangalore),EMP012,993.66,46.56,CLEAN,0
10078,2024-01-28,968,P162,Books,3,1718.81,4640.79,10.0,Cash,Store A (Mumbai),EMP050,1736.91,37.43,CLEAN,0
10079,2024-05-24,2454,P335,Clothing,2,3901.1,7412.09,5.0,Credit Card,Store B (Delhi),EMP018,2929.97,39.53,CLEAN,0
10080,2024-01-05,1815,P204,Clothing,4,3596.44,13666.47,5.0,Debit Card,Store A (Mumbai),EMP026,4949.73,36.22,CLEAN,0
10081,2024-01-08,1186,P180,Food,5,361.99,1628.96,10.0,UPI,Store C (Bangalore),EMP006,625.28,38.39,CLEAN,0
10082,2024-04-14,1568,P286,Clothing,1,2103.37,1787.86,15.0,Credit Card,Store A (Mumbai),EMP049,828.95,46.37,CLEAN,0
10083,2024-01-20,1058,P065,Clothing,4,3755.26,13518.94,10.0,Credit Card,Store B (Delhi),EMP043,6231.2,46.09,CLEAN,0
10084,2024-02-18,1760,P085,Clothing,4,2319.34,8813.49,5.0,Credit Card,Online,ONLINE,4044.57,45.89,CLEAN,0
10085,2024-03-12,1568,P056,Electronics,2,81966.32,147539.38,10.0,Cash,Online,ONLINE,72045.67,48.83,CLEAN,1
10086,2024-06-30,290,P267,Home & Garden,2,5300.86,9541.55,10.0,Debit Card,Online,ONLINE,2893.93,30.33,CLEAN,0
10087,2024-04-21,18,P137,Home & Garden,6,1735.54,10413.24,0.0,Credit Card,Store A (Mumbai),EMP016,4880.22,46.87,CLEAN,0
10088,2024-05-21,681,P360,Home & Garden,4,749.7,2998.8,0.0,Credit Card,Store A (Mumbai),EMP025,1439.36,48.0,CLEAN,0
10089,2024-05-07,1676,P355,Food,9,691.82,6226.38,0.0,UPI,Store A (Mumbai),EMP016,1986.12,31.9,CLEAN,0
10090,2024-02-19,403,P200,Books,1,1521.91,1369.72,10.0,Net Banking,Store B (Delhi),EMP023,493.24,36.01,CLEAN,0
10091,2024-05-26,1238,P313,Clothing,3,3455.36,9329.47,10.0,Debit Card,Store C (Bangalore),EMP002,4356.88,46.7,CLEAN,0
10092,2024-02-16,163,P390,Home & Garden,5,2580.46,12902.3,0.0,UPI,Store B (Delhi),EMP028,6719.85,52.08,CLEAN,0
10093,2024-05-23,1841,P247,Books,2,1833.34,3666.68,0.0,Cash,Online,ONLINE,2175.72,59.34,CLEAN,0
10094,2024-04-03,370,P096,Electronics,1,119896.32,113901.5,5.0,Net Banking,Online,ONLINE,48469.16,42.55,CLEAN,1
10095,2024-06-28,2324,P260,Clothing,3,1414.73,4244.19,0.0,Credit Card,Store B (Delhi),EMP008,2017.26,47.53,CLEAN,0
10096,2024-03-16,897,P089,Home & Garden,4,3874.96,14724.85,5.0,Credit Card,Store B (Delhi),EMP048,5041.12,34.24,CLEAN,0
10097,2024-05-08,2371,P067,Home & Garden,3,4910.08,13257.22,10.0,Debit Card,Store A (Mumbai),EMP045,6665.52,50.28,CLEAN,0
10098,2024-06-04,264,P028,Food,1,543.86,543.86,0.0,UPI,Online,ONLINE,317.05,58.3,CLEAN,0
10099,2024-01-27,892,P199,Clothing,1,4247.3,4247.3,0.0,Cash,Online,ONLINE,1333.64,31.4,CLEAN,0
10100,2024-04-14,2480,P094,Clothing,1,4537.63,4537.63,0.0,Cash,Store C (Bangalore),EMP009,1856.56,40.91,CLEAN,0
10101,2024-01-01,2321,P362,Food,10,351.94,3343.43,5.0,Debit Card,Store C (Bangalore),EMP021,1197.57,35.82,CLEAN,0
10102,2024-05-17,287,P105,Food,3,177.03,531.09,0.0,Credit Card,Store A (Mumbai),EMP026,267.45,50.36,CLEAN,0
10103,2024-03-20,1437,P369,Home & Garden,2,5201.38,8842.35,15.0,UPI,Store C (Bangalore),EMP003,3973.53,44.94,CLEAN,0
10104,2024-03-09,858,P025,Electronics,2,109621.89,208281.59,5.0,Net Banking,Store B (Delhi),EMP002,83028.0,39.86,CLEAN,1
10105,2024-04-06,1524,P150,Electronics,1,99365.66,84460.81,15.0,Net Banking,Store B (Delhi),EMP020,37176.0,44.02,CLEAN,1
10106,2024-05-15,610,P305,Electronics,2,79903.83,159807.66,0.0,Debit Card,Store A (Mumbai),EMP034,70713.44,44.25,CLEAN,1
10107,2024-01-03,1960,P144,Clothing,4,935.86,3369.1,10.0,Cash,Store A (Mumbai),EMP032,1568.88,46.57,CLEAN,0
10108,2024-05-05,2156,P220,Clothing,3,4104.42,11081.93,10.0,Debit Card,Online,ONLINE,3611.2,32.59,CLEAN,0
10109,2024-01-16,1380,P043,Electronics,2,12329.26,23425.59,5.0,Net Banking,Store A (Mumbai),EMP017,11185.0,47.75,CLEAN,0
10110,2024-05-03,1186,P126,Books,4,1974.05,7106.58,10.0,UPI,Store A (Mumbai),EMP045,2470.03,34.76,CLEAN,0
10111,2024-05-15,1826,P188,Books,1,481.69,457.61,5.0,UPI,Store C (Bangalore),EMP040,183.64,40.13,CLEAN,0
10112,2024-03-07,1775,P073,Clothing,2,762.22,1448.22,5.0,Net Banking,Online,ONLINE,819.93,56.62,CLEAN,0
10113,2024-04-08,2180,P186,Clothing,1,3940.69,3940.69,0.0,Cash,Store C (Bangalore),EMP036,1881.57,47.75,CLEAN,0
10114,2024-03-21,2321,P271,Books,2,1935.13,3483.23,10.0,Cash,Store B (Delhi),EMP032,1798.51,51.63,CLEAN,0
10115,2024-01-18,660,P189,Books,4,1181.75,4490.65,5.0,Credit Card,Online,ONLINE,2471.52,55.04,CLEAN,0
10116,2024-05-30,1125,P273,Books,4,1333.67,4801.21,10.0,Credit Card,Online,ONLINE,1717.13,35.76,CLEAN,0
10117,2024-03-05,2092,P082,Electronics,2,82814.54,149066.17,10.0,Debit Card,Store A (Mumbai),EMP043,62244.02,41.76,CLEAN,1
10118,2024-02-16,829,P195,Clothing,3,1692.96,5078.88,0.0,Credit Card,Online,ONLINE,1835.58,36.14,CLEAN,0
10119,2024-05-10,2085,P097,Electronics,2,42489.57,84979.14,0.0,Debit Card,Store A (Mumbai),EMP027,36721.28,43.21,CLEAN,1
10120,2024-03-20,1871,P145,Food,1,954.79,954.79,0.0,Debit Card,Online,ONLINE,460.54,48.23,CLEAN,0
10121,2024-02-06,567,P091,Books,4,1544.86,5561.5,10.0,Net Banking,Online,ONLINE,1905.23,34.26,CLEAN,0
10122,2024-06-15,2383,P282,Food,7,685.9,4801.3,0.0,Net Banking,Store A (Mumbai),EMP034,2638.93,54.96,CLEAN,0
10123,2024-05-25,2283,P043,Electronics,2,12329.26,24658.52,0.0,Net Banking,Online,ONLINE,11773.68,47.75,CLEAN,0
10124,2024-06-19,1984,P155,Electronics,2,56042.13,112084.26,0.0,Credit Card,Store C (Bangalore),EMP030,63779.04,56.9,CLEAN,1
10125,2024-06-29,2149,P020,Home & Garden,1,5389.65,4850.68,10.0,Net Banking,Online,ONLINE,2890.48,59.59,CLEAN,0
10126,2024-01-09,2050,P283,Electronics,1,111307.19,111307.19,0.0,Net Banking,Store C (Bangalore),EMP043,44869.86,40.31,CLEAN,1
10127,2024-01-26,430,P225,Books,4,478.33,1434.99,25.0,Net Banking,Store A (Mumbai),EMP037,641.25,44.69,CLEAN,0
10128,2024-03-03,334,P061,Books,3,739.01,2217.03,0.0,Net Banking,Store A (Mumbai),EMP015,873.03,39.38,CLEAN,0
10129,2024-06-20,2337,P080,Clothing,2,1777.53,3555.06,0.0,Cash,Store A (Mumbai),EMP045,1296.32,36.46,CLEAN,0
10130,2024-05-21,196,P125,Books,1,1377.54,1308.66,5.0,Cash,Store A (Mumbai),EMP009,783.48,59.87,CLEAN,0
10131,2024-01-05,1876,P112,Clothing,3,2287.3,6518.8,5.0,Debit Card,Store B (Delhi),EMP005,2895.97,44.42,CLEAN,0
10132,2024-05-19,2384,P208,Books,4,1543.4,6173.6,0.0,UPI,Store C (Bangalore),EMP010,2945.24,47.71,CLEAN,0
10133,2024-06-01,2323,P327,Books,1,1015.98,1015.98,0.0,Debit Card,Store B (Delhi),EMP003,356.13,35.05,CLEAN,0
10134,2024-04-09,1186,P338,Food,6,589.74,3538.44,0.0,Debit Card,Store B (Delhi),EMP020,1364.28,38.56,CLEAN,0
10135,2024-03-17,1298,P381,Home & Garden,6,427.5,2436.75,5.0,Cash,Store C (Bangalore),EMP038,1162.57,47.71,CLEAN,0
10136,2024-05-02,1575,P263,Home & Garden,4,2040.76,8163.04,0.0,Debit Card,Store C (Bangalore),EMP018,4163.24,51.0,CLEAN,0
10137,2024-02-04,1329,P287,Food,1,748.6,748.6,0.0,Net Banking,Online,ONLINE,425.59,56.85,CLEAN,0
10138,2024-03-31,1678,P393,Clothing,1,776.48,776.48,0.0,Credit Card,Store C (Bangalore),EMP001,321.55,41.41,CLEAN,0
10139,2024-01-07,820,P342,Home & Garden,5,5958.97,29794.85,0.0,Credit Card,Store B (Delhi),EMP015,10925.7,36.67,CLEAN,0
10140,2024-01-26,404,P223,Electronics,1,35804.85,32224.36,10.0,Debit Card,Store A (Mumbai),EMP010,10093.83,31.32,CLEAN,0
10141,2024-02-15,1971,P189,Books,3,1181.75,3367.99,5.0,UPI,Store C (Bangalore),EMP043,1853.64,55.04,CLEAN,0
10142,2024-01-28,1624,P310,Home & Garden,3,3899.26,11697.78,0.0,UPI,Store C (Bangalore),EMP016,6626.31,56.65,CLEAN,0
10143,2024-02-11,1586,P157,Clothing,1,1593.66,1354.61,15.0,Cash,Store B (Delhi),EMP050,766.32,56.57,CLEAN,0
10144,2024-02-23,1230,P107,Food,1,763.79,687.41,10.0,Net Banking,Store A (Mumbai),EMP049,388.97,56.58,CLEAN,0
10145,2024-02-29,403,P369,Home & Garden,6,5201.38,31208.28,0.0,Credit Card,Store B (Delhi),EMP049,14024.22,44.94,CLEAN,0
10146,2024-06-15,772,P056,Electronics,1,81966.32,69671.37,15.0,UPI,Store C (Bangalore),EMP017,34021.56,48.83,CLEAN,0
10147,2024-01-23,1007,P334,Home & Garden,1,5070.36,5070.36,0.0,Unknown,Store A (Mumbai),EMP044,1607.64,31.71,CLEAN,0
10148,2024-04-20,831,P075,Food,8,95.0,760.0,0.0,Cash,Store C (Bangalore),EMP024,433.92,57.09,CLEAN,0
10149,2024-04-26,1380,P266,Clothing,2,2635.84,5271.68,0.0,Cash,Store B (Delhi),EMP030,3067.98,58.2,CLEAN,0
10150,2024-01-11,1192,P306,Home & Garden,4,2168.93,8675.72,0.0,UPI,Store C (Bangalore),EMP042,3954.16,45.58,CLEAN,0
10151,2024-05-27,1760,P112,Clothing,2,2287.3,4345.87,5.0,Net Banking,Store C (Bangalore),EMP013,1930.65,44.42,CLEAN,0
10152,2024-06-21,931,P043,Electronics,2,12329.26,24658.52,0.0,Debit Card,Store C (Bangalore),EMP013,11773.68,47.75,CLEAN,0
10153,2024-04-05,2108,P009,Clothing,2,696.53,1323.41,5.0,Credit Card,Store B (Delhi),EMP039,702.32,53.07,CLEAN,0
10154,2024-03-31,1195,P317,Home & Garden,2,5335.91,9604.64,10.0,Debit Card,Store C (Bangalore),EMP040,5621.22,58.53,CLEAN,0
10155,2024-06-15,1222,P009,Clothing,2,696.53,1253.75,10.0,Credit Card,Store A (Mumbai),EMP027,665.35,53.07,CLEAN,0
10156,2024-05-13,2224,P263,Home & Garden,2,2040.76,4081.52,0.0,Net Banking,Store A (Mumbai),EMP032,2081.62,51.0,CLEAN,0
10157,2024-01-09,1341,P352,Home & Garden,5,1519.52,7597.6,0.0,UPI,Online,ONLINE,3900.4,51.34,CLEAN,0
10158,2024-06-05,1371,P293,Home & Garden,4,6717.57,24183.25,10.0,UPI,Store B (Delhi),EMP013,12894.34,53.32,CLEAN,0
10159,2024-04-15,186,P306,Home & Garden,2,2168.93,4120.97,5.0,Net Banking,Store B (Delhi),EMP016,1878.23,45.58,CLEAN,0
10160,2024-06-26,371,P275,Books,1,1681.37,1681.37,0.0,Net Banking,Online,ONLINE,651.01,38.72,CLEAN,0
10161,2024-05-18,1658,P035,Electronics,1,135575.06,135575.06,0.0,Net Banking,Store A (Mumbai),EMP029,76347.27,56.31,CLEAN,1
10162,2024-05-20,2097,P294,Clothing,2,3684.66,7369.32,0.0,Credit Card,Store C (Bangalore),EMP007,2972.44,40.34,CLEAN,0
10163,2024-05-05,1750,P237,Home & Garden,6,3676.06,19850.72,10.0,Credit Card,Store B (Delhi),EMP001,6967.08,35.1,CLEAN,0
10164,2024-05-22,660,P365,Home & Garden,4,7727.83,29365.75,5.0,Cash,Store A (Mumbai),EMP048,11958.22,40.72,CLEAN,0
10165,2024-02-11,1617,P240,Clothing,2,3086.79,5556.22,10.0,Debit Card,Store B (Delhi),EMP011,2992.95,53.87,CLEAN,0
10166,2024-06-05,155,P282,Food,9,685.9,6173.1,0.0,Credit Card,Store B (Delhi),EMP039,3392.91,54.96,CLEAN,0
10167,2024-01-14,746,P113,Books,2,550.51,1045.97,5.0,Credit Card,Store A (Mumbai),EMP043,351.02,33.56,CLEAN,0
10168,2024-04-26,106,P089,Home & Garden,1,3874.96,3874.96,0.0,UPI,Store C (Bangalore),EMP049,1326.61,34.24,CLEAN,0
10169,2024-01-04,1775,P036,Clothing,3,3860.97,11582.91,0.0,UPI,Store C (Bangalore),EMP013,4909.29,42.38,CLEAN,0
10170,2024-02-23,70,P045,Electronics,1,51531.58,51531.58,0.0,UPI,Store B (Delhi),EMP031,27549.98,53.46,CLEAN,0
10171,2024-05-18,2040,P043,Electronics,1,12329.26,11712.8,5.0,Debit Card,Online,ONLINE,5592.5,47.75,CLEAN,0
10172,2024-05-18,772,P323,Clothing,4,3746.51,13487.44,10.0,Debit Card,Store A (Mumbai),EMP013,4441.64,32.93,CLEAN,0
10173,2024-04-23,1960,P024,Clothing,1,1575.24,1575.24,0.0,Credit Card,Store A (Mumbai),EMP047,714.4,45.35,CLEAN,0
10174,2024-03-25,758,P118,Home & Garden,6,7304.32,43825.92,0.0,Cash,Store B (Delhi),EMP004,20832.9,47.54,CLEAN,0
10175,2024-04-20,1846,P023,Electronics,1,139921.61,139921.61,0.0,Debit Card,Store C (Bangalore),EMP038,60762.94,43.43,CLEAN,1
10176,2024-04-19,674,P280,Food,9,999.32,8993.88,0.0,UPI,Store B (Delhi),EMP022,5243.67,58.3,CLEAN,0
10177,2024-04-26,1848,P062,Home & Garden,1,7097.7,7097.7,0.0,Credit Card,Online,ONLINE,3131.25,44.12,CLEAN,0
10178,2024-04-12,338,P078,Books,4,346.23,1384.92,0.0,UPI,Online,ONLINE,819.24,59.15,CLEAN,0
10179,2024-02-10,1936,P065,Clothing,3,3755.26,10702.49,5.0,UPI,Store A (Mumbai),EMP020,4933.04,46.09,CLEAN,0
10180,2024-03-12,1586,P301,Clothing,3,3865.59,11016.93,5.0,Credit Card,Store C (Bangalore),EMP017,6436.64,58.42,CLEAN,0
10181,2024-02-06,1881,P251,Food,6,329.13,1777.3,10.0,Cash,Online,ONLINE,896.4,50.44,CLEAN,0
10182,2024-04-06,2044,P116,Home & Garden,6,5411.04,32466.24,0.0,Cash,Online,ONLINE,12941.1,39.86,CLEAN,0
10183,2024-06-28,2149,P031,Books,3,1671.22,4261.61,15.0,Net Banking,Store B (Delhi),EMP016,1715.44,40.25,CLEAN,0
10184,2024-02-05,1178,P260,Clothing,1,1414.73,1414.73,0.0,Debit Card,Online,ONLINE,672.42,47.53,CLEAN,0
10185,2024-03-24,1103,P247,Books,2,1833.34,3300.01,10.0,Cash,Store B (Delhi),EMP049,1958.15,59.34,CLEAN,0
10186,2024-05-01,346,P008,Electronics,2,21421.45,38558.61,10.0,Cash,Store C (Bangalore),EMP022,20984.53,54.42,CLEAN,0
10187,2024-01-04,386,P096,Electronics,1,119896.32,113901.5,5.0,UPI,Store A (Mumbai),EMP032,48469.16,42.55,CLEAN,1
10188,2024-01-31,1434,P026,Electronics,1,94661.41,85195.27,10.0,Net Banking,Store B (Delhi),EMP021,37434.6,43.94,CLEAN,1
10189,2024-03-20,1506,P367,Clothing,1,2010.58,1910.05,5.0,Debit Card,Store A (Mumbai),EMP014,1039.24,54.41,CLEAN,0
10190,2024-02-21,2310,P399,Home & Garden,4,7455.42,28330.6,5.0,Cash,Store B (Delhi),EMP050,12042.2,42.51,CLEAN,0
10191,2024-06-14,1568,P068,Electronics,2,108612.67,184641.54,15.0,Cash,Store A (Mumbai),EMP031,88608.16,47.99,CLEAN,1
10192,2024-02-23,120,P135,Food,2,790.07,1580.14,0.0,Debit Card,Online,ONLINE,571.56,36.17,CLEAN,0
10193,2024-01-06,2090,P302,Food,7,276.08,1739.3,10.0,Net Banking,Store A (Mumbai),EMP009,622.12,35.77,CLEAN,0
